temperatura,vacuo,energia
21.44,60.32,448.84
14.81,43.7,469.5
13.49,44.47,466.66
15.55,39.63,466.83
23.29,65.61,447.67
23.15,58.79,447.71
20.51,45.38,461.87
29.72,68.08,430.36
27.31,59.54,440.13
25.65,69.23,435.25
14.94,42.77,462.67
10.93,39.16,479.83
14.72,40.83,469.8
11.27,40.62,471.26
7.92,41.66,483.38
11.48,37.92,472.9
26.84,70.36,442.17
8.49,43.69,483.62
16.48,41.35,465.64
10.95,40.22,477.23
12.36,37.73,470.39
25.37,66.75,434.16
23.82,63.76,440.52
31.23,75.08,439.14
5.47,40.62,481.56
25.81,66.51,437.57
6.98,40.35,484.19
5.98,41.31,484.51
13.08,41.74,474.81
12.07,41.17,479.28
8.88,36.3,478.7
21.62,58.59,445.92
19.63,52.72,459.12
5.68,40.77,487.58
15.64,43.71,462.55
10.98,41.39,476.31
28.66,50.05,435.94
10.42,44.85,479.03
14.03,41.79,457.98
31.1,71.32,437.54
26.47,47.43,439.4
13.88,48.79,464.14
11.61,41.17,476.81
15.19,42.03,462.64
12.8,41.16,462.72
23.14,51.19,443.87
11.97,42.32,467.98
3.74,35.19,490.5
11.97,41.04,468.81
14.93,41.79,456.75
17.48,44.71,465.61
21.52,66.51,444.87
28.14,65.34,443.11
11.09,41.58,464.81
23.83,64.15,447.95
30.18,61.5,436.92
13.39,44.85,469.18
26.17,48.92,440.09
8.34,40.77,480.48
12.54,44.03,471.86
10.59,25.36,470.96
20.1,58.95,446.7
13.75,40.89,471.42
17.44,44.88,465.72
28.15,72.24,431.75
28.07,66.17,443.77
31.18,70.36,438.46
21.89,63.94,447.74
9.47,41.4,479.68
22.96,45.01,450.37
25.56,75.6,442.2
14.39,44.85,465.88
25.37,58.33,444.46
25.88,63.47,443.94
10.07,40.92,471.71
16.46,48.6,449.58
18.36,53.16,457.94
16.71,40.56,467.46
9.82,36.18,475.21
33.82,77.17,435.58
15.12,41.79,455.63
26.63,74.16,436.03
10.56,41.54,479.33
30.76,59.57,439.32
6.54,39.33,491.16
12.32,43.69,471.6
8.2,41.14,474.04
29.29,73.18,430.31
26.43,77.17,431.26
19.68,62.96,453.58
29.05,69.71,434.05
11.49,35.76,472.45
15.66,41.7,452.58
25.03,59.21,446.33
15.24,40.0,454.64
24.19,58.95,441.91
24.4,60.37,440.64
14.66,43.13,467.87
11.09,42.44,478.37
10.86,44.85,476.87
27.6,69.05,436.08
26.78,73.06,433.25
17.55,43.14,461.58
13.62,40.2,465.74
20.0,56.53,454.86
10.4,45.01,470.79
15.33,36.71,468.36
24.2,57.85,446.87
9.01,38.56,482.37
20.75,60.77,448.58
6.25,40.07,494.39
20.85,56.89,450.07
14.8,44.92,464.01
5.47,40.62,481.56
8.65,40.56,485.87
27.36,48.6,436.06
24.07,71.97,441.84
30.96,71.77,425.66
23.1,59.43,440.64
8.19,41.66,485.2
27.31,64.44,442.77
10.6,41.46,481.3
27.78,73.56,436.5
19.94,65.46,448.67
25.15,68.51,440.96
25.21,69.48,436.02
30.02,68.24,429.5
15.5,39.16,469.52
17.48,44.71,465.61
22.39,48.14,448.58
22.93,62.26,438.34
6.34,40.64,478.78
21.37,57.76,454.66
27.42,65.74,440.52
26.21,65.12,444.44
27.0,69.4,433.83
11.52,40.03,472.31
20.45,58.96,454.26
14.19,49.83,462.86
11.02,39.96,467.41
29.29,57.19,435.69
11.8,45.09,470.57
16.84,39.63,466.06
30.21,79.74,430.83
9.33,36.3,479.6
29.12,66.56,429.94
11.59,40.05,474.46
18.64,52.08,451.3
8.14,37.49,480.66
13.83,40.2,465.53
9.14,37.36,491.97
14.55,42.74,457.77
27.77,51.43,438.7
15.34,41.96,468.33
22.29,56.89,441.9
28.46,73.67,429.15
18.87,52.08,449.61
30.36,71.8,437.4
22.07,70.72,442.88
20.91,58.2,446.19
33.24,74.34,435.5
19.35,64.15,457.74
14.97,58.2,458.68
8.57,40.69,485.18
9.77,44.68,477.56
17.14,44.2,457.02
25.95,73.77,432.21
21.96,58.79,448.89
25.62,60.29,444.94
26.88,79.74,434.77
31.58,66.54,429.73
24.93,73.5,437.35
32.84,77.95,431.97
30.02,73.5,429.84
17.3,42.24,469.21
25.36,61.41,452.29
16.71,46.18,458.4
12.75,44.2,471.03
13.76,45.87,463.5
27.27,72.24,432.35
26.73,77.95,434.76
26.56,49.02,438.82
25.22,69.88,443.24
26.65,74.67,435.9
10.15,41.17,480.71
28.14,43.21,436.53
28.69,67.79,439.87
8.06,39.96,476.03
21.61,41.54,458.47
26.49,59.44,441.16
25.21,51.43,439.01
4.78,42.85,481.47
17.37,48.92,455.53
27.45,59.74,450.46
9.75,35.76,474.31
17.94,63.07,456.7
21.96,58.79,447.31
23.55,58.79,447.01
20.48,51.43,448.03
11.92,40.62,468.14
29.77,69.98,430.65
12.81,44.58,475.5
30.34,68.08,428.34
30.17,76.86,430.3
24.06,71.25,438.85
20.3,56.53,454.12
26.96,73.68,429.48
25.88,74.67,434.81
13.2,44.9,468.92
12.24,34.03,474.18
9.35,41.03,482.16
24.02,77.54,438.52
14.86,37.85,467.71
32.27,71.85,429.72
23.07,65.46,446.19
8.82,43.56,482.71
20.38,66.54,448.93
24.6,75.23,434.07
21.34,59.8,450.74
12.91,40.73,464.61
24.74,59.21,440.36
10.48,40.22,477.78
28.66,74.93,440.79
30.22,74.9,434.17
27.44,74.9,436.42
6.03,41.14,479.61
13.2,44.9,468.92
28.55,72.43,430.06
17.02,51.86,460.0
12.24,44.92,473.26
15.35,41.79,455.54
25.47,56.89,440.38
23.95,51.86,449.81
22.88,59.21,440.25
21.9,66.54,439.06
15.36,41.35,465.01
18.63,61.27,454.03
13.32,44.9,466.3
29.45,68.27,432.96
7.04,39.37,488.0
26.3,67.07,433.72
25.21,49.82,450.75
29.8,69.34,437.65
8.16,39.64,481.78
27.88,68.94,435.04
27.26,63.77,436.01
15.19,41.43,470.41
24.38,60.84,440.85
19.05,44.06,454.28
19.82,63.9,449.61
26.71,68.3,436.66
27.33,51.43,439.12
29.56,74.22,432.84
28.5,73.77,431.7
10.41,44.68,474.7
33.71,69.98,431.99
7.11,40.77,475.55
13.69,40.1,470.76
12.36,41.74,477.16
27.37,70.72,441.9
7.21,42.03,482.26
14.35,40.71,473.56
20.35,68.61,450.89
26.37,70.79,428.5
10.31,44.63,471.78
24.27,57.85,445.1
14.83,53.82,464.0
10.7,36.18,475.08
23.79,50.16,435.49
26.13,57.32,441.6
29.86,59.57,439.44
26.42,59.27,443.94
9.08,40.46,476.81
30.21,69.4,438.18
22.28,58.12,448.97
18.99,59.27,453.4
17.7,49.78,451.24
27.0,73.17,434.94
24.75,69.89,438.1
10.77,41.54,477.81
15.74,43.71,462.66
15.85,42.28,467.3
7.94,43.65,479.8
10.32,38.91,479.17
22.32,64.27,446.62
8.94,36.71,477.62
16.62,52.05,457.89
19.62,68.63,453.84
23.36,74.93,443.78
17.62,43.52,457.45
29.1,70.4,430.98
20.73,59.87,445.18
15.85,49.69,469.4
27.97,58.84,446.11
7.54,37.7,481.56
27.44,58.9,442.19
25.26,61.08,447.46
23.84,63.47,444.48
27.71,66.93,447.06
18.43,57.76,452.65
24.1,68.08,440.33
24.05,70.4,442.07
23.19,45.61,454.62
24.93,47.01,455.06
26.63,43.77,440.95
17.49,63.94,452.71
15.35,41.79,455.54
30.32,64.69,436.72
15.51,36.71,465.85
32.88,72.29,431.74
27.44,47.93,437.76
9.99,42.07,471.6
25.73,66.54,437.07
6.81,37.49,482.21
30.56,69.04,442.24
9.32,36.3,479.52
24.31,58.62,449.12
14.5,44.47,465.15
15.7,44.21,462.19
25.53,59.57,445.59
20.23,52.05,457.57
24.88,71.94,433.3
5.15,40.07,495.35
5.25,42.85,477.78
23.25,72.99,438.51
23.28,72.24,434.21
25.16,77.3,439.37
22.39,58.18,448.37
27.68,69.34,436.37
26.51,70.32,431.82
25.87,47.01,452.32
19.68,51.19,452.04
26.53,69.71,446.17
13.4,41.78,466.68
27.88,63.87,443.24
27.09,65.61,442.94
28.8,71.58,434.82
10.26,43.14,466.75
31.04,74.67,435.17
23.95,58.79,448.32
13.78,40.1,445.98
24.53,74.78,446.3
19.47,43.43,451.38
25.48,60.29,443.77
22.16,64.63,451.86
22.52,67.32,443.49
26.48,69.14,435.76
21.2,59.39,444.57
25.9,47.45,443.13
28.28,56.9,445.61
14.02,41.78,465.87
13.69,44.85,470.78
31.54,77.24,430.07
21.11,43.43,447.83
5.94,39.9,485.86
24.4,60.32,447.73
25.25,62.91,443.14
9.77,41.44,481.74
21.39,63.9,449.38
28.36,69.88,434.03
11.64,41.44,478.99
23.81,46.93,449.58
10.38,37.73,475.02
21.63,71.85,434.1
8.01,41.66,485.13
25.42,68.08,433.82
25.23,69.34,445.92
6.48,36.24,484.65
14.39,44.85,465.88
21.03,44.78,459.72
8.79,40.67,489.02
23.25,71.29,442.21
22.25,66.54,437.19
23.84,49.21,447.03
19.17,52.9,458.59
30.66,73.77,430.0
26.63,62.44,438.25
25.3,71.29,437.17
30.71,64.05,438.42
6.61,38.68,483.88
25.69,57.32,441.43
23.51,58.79,445.75
13.49,43.41,461.06
8.96,40.05,467.24
25.21,65.34,446.68
15.29,25.88,464.25
17.48,44.2,457.15
22.07,58.95,442.4
27.19,71.58,436.77
32.07,67.83,429.31
25.52,61.25,435.48
24.04,51.95,450.07
27.74,70.32,433.47
26.95,70.8,436.8
21.46,46.63,452.1
12.61,41.79,461.37
25.65,68.08,435.91
22.72,62.4,445.22
22.89,48.98,448.56
21.36,58.95,443.93
26.61,69.13,430.17
24.35,59.21,444.35
25.32,60.37,438.5
13.79,45.08,465.69
24.41,52.3,442.62
29.0,75.33,432.65
14.13,43.41,461.96
26.13,73.21,435.34
20.59,42.04,463.08
28.23,64.05,442.3
17.77,43.72,456.34
10.37,40.03,477.91
25.41,65.12,442.86
22.08,41.1,455.04
8.19,41.66,485.2
14.24,39.99,466.2
9.87,41.82,475.58
9.42,41.4,478.12
29.07,71.64,440.51
10.53,40.64,477.99
19.11,50.16,450.38
13.52,42.07,464.07
11.2,37.5,472.2
18.67,47.83,454.47
10.04,41.62,463.87
25.07,60.27,439.52
23.84,49.21,446.54
12.0,41.17,474.4
24.99,60.37,437.67
33.4,70.8,432.46
14.87,42.18,465.89
30.99,69.82,437.46
24.2,64.33,442.78
30.29,74.16,431.39
8.99,36.3,478.95
15.48,41.66,467.06
10.8,39.58,478.24
16.34,41.48,453.6
26.38,66.49,442.38
14.26,42.86,471.19
15.29,38.73,468.62
5.72,39.33,490.76
27.07,77.95,433.61
22.35,63.47,440.11
17.86,52.9,457.42
10.42,41.46,479.24
29.99,74.9,435.87
30.37,67.45,431.38
14.45,43.34,462.16
32.89,66.44,431.54
24.37,73.42,440.29
10.32,41.01,467.81
9.99,42.07,471.6
14.3,53.82,465.42
25.88,69.13,426.14
31.09,74.22,430.3
26.92,63.73,440.35
13.35,39.18,469.34
19.95,50.59,459.27
20.55,65.46,448.83
25.92,50.16,440.98
29.87,69.13,426.47
30.04,64.44,437.95
10.2,40.67,482.26
13.92,44.47,467.29
23.69,65.59,439.66
18.12,44.63,453.55
25.71,58.59,451.28
9.51,43.79,481.12
27.61,59.54,437.85
20.76,58.79,447.07
30.15,69.88,434.75
30.68,71.8,435.4
10.13,39.18,479.42
28.87,72.58,428.89
23.09,63.91,447.9
31.7,69.13,427.95
24.42,64.79,449.1
16.84,56.03,437.14
23.89,64.27,450.82
14.64,39.58,467.8
21.86,60.27,446.31
21.08,46.93,453.87
27.51,49.3,437.09
34.33,69.05,430.56
14.04,39.64,472.31
32.41,67.83,426.85
8.64,38.56,484.45
29.79,62.66,440.27
11.52,40.75,477.19
27.4,77.24,435.74
14.1,39.16,464.07
16.73,43.79,468.87
21.17,52.3,447.5
29.28,65.71,445.49
28.88,71.98,428.61
23.95,58.79,448.32
32.16,66.25,434.5
9.73,41.01,469.11
12.14,44.85,476.68
15.11,43.13,466.74
7.95,41.26,480.6
25.43,72.39,436.1
28.86,73.67,431.15
9.11,40.64,476.62
17.89,44.78,457.74
13.8,44.21,468.97
31.07,73.5,432.06
18.78,63.09,452.86
11.01,42.02,473.96
4.96,40.07,494.75
12.82,38.62,467.41
19.78,54.42,456.84
26.1,74.16,437.18
23.55,65.12,446.44
30.63,74.22,430.38
10.12,40.0,479.62
5.37,38.68,487.07
12.27,49.83,467.1
14.81,40.71,467.66
18.6,68.28,446.98
12.41,37.92,470.49
24.19,46.21,440.87
8.14,41.26,477.57
29.78,65.74,441.51
16.55,39.64,465.29
8.31,40.46,476.72
22.25,43.79,461.93
28.5,72.99,433.24
24.43,72.43,434.71
23.09,70.02,443.27
30.88,67.83,425.36
10.77,41.46,479.22
25.38,74.67,435.41
15.66,41.35,463.57
22.79,44.57,448.91
28.29,68.08,430.93
7.93,42.28,484.75
5.15,45.87,479.61
8.76,41.82,480.08
11.33,41.5,475.01
18.9,58.46,449.32
22.93,63.13,448.02
17.12,58.95,451.67
25.5,63.91,444.26
28.46,49.16,438.02
23.36,56.89,440.51
19.48,63.09,449.6
25.57,62.96,444.81
28.76,60.23,437.42
28.95,66.75,432.39
29.33,64.84,443.15
18.78,63.09,452.86
31.06,67.17,437.91
11.49,44.2,475.51
26.31,52.09,447.04
10.36,43.67,477.23
14.39,44.85,465.88
25.58,47.01,454.39
15.45,46.63,464.37
15.55,43.71,465.14
21.11,65.94,448.77
14.17,41.67,471.42
26.01,61.47,435.78
32.36,73.91,431.92
8.82,43.56,482.71
27.29,71.32,435.25
27.45,64.34,440.0
30.19,66.54,428.37
26.08,48.6,438.61
26.85,63.56,444.39
18.06,52.08,452.19
21.24,44.3,444.0
20.14,46.93,453.99
15.58,40.66,460.61
10.63,39.61,476.99
34.96,68.94,431.48
22.67,58.2,446.36
10.24,41.58,465.86
22.59,65.06,444.6
27.49,63.78,445.66
27.36,58.33,439.14
6.25,40.02,481.38
17.85,48.14,451.9
8.63,39.96,475.79
31.54,77.24,431.27
5.57,42.85,488.85
10.03,43.72,473.26
27.18,71.06,430.66
24.54,66.49,437.38
28.21,70.02,442.47
20.37,44.58,463.2
5.81,45.87,479.66
29.18,68.24,428.52
17.19,37.2,468.4
15.74,43.34,463.24
20.55,65.46,448.83
25.59,62.39,435.84
6.76,37.49,484.85
15.11,56.03,462.65
12.35,40.73,466.71
32.09,72.86,434.78
11.58,40.66,466.42
10.07,40.46,470.99
22.36,64.15,453.94
12.36,37.73,470.39
22.1,68.63,449.54
9.25,41.82,478.48
33.08,69.75,434.98
14.85,58.59,454.62
27.84,72.39,432.19
17.12,68.28,449.94
22.29,61.27,449.81
22.35,63.94,443.9
16.34,42.28,463.29
20.36,56.53,455.34
25.08,51.43,446.67
8.39,36.24,480.69
27.75,77.24,433.57
7.01,40.72,489.64
15.3,43.34,463.7
20.39,64.15,457.37
19.92,46.97,459.39
25.26,65.61,447.34
18.01,44.2,456.36
5.47,40.62,481.56
26.21,65.12,444.44
14.79,41.04,456.97
7.04,41.74,488.99
14.16,44.58,473.22
19.27,50.9,455.09
27.02,71.77,428.1
14.44,39.0,466.96
17.67,43.7,465.06
10.48,41.93,480.01
23.96,65.34,449.23
14.5,39.0,465.32
15.63,40.56,472.15
13.99,45.0,472.55
10.12,39.96,471.6
8.74,40.03,481.07
28.11,69.84,427.33
6.54,39.33,491.16
22.2,57.17,447.75
31.17,69.51,428.94
20.37,54.9,453.94
28.3,64.33,441.51
11.8,43.99,466.75
22.65,60.93,440.52
14.4,42.99,469.34
12.57,43.8,466.68
27.6,67.25,438.42
21.19,58.86,452.43
26.31,71.29,432.92
18.68,43.69,463.02
5.96,36.25,488.2
9.44,41.79,474.03
32.38,77.24,430.96
18.95,46.21,457.58
24.66,72.24,434.33
8.07,43.41,467.56
9.83,41.17,478.21
22.79,44.57,448.91
21.93,58.96,453.42
6.77,39.81,488.27
21.19,58.86,452.43
23.64,70.04,435.21
27.81,66.51,439.48
23.62,67.45,439.45
24.96,60.27,442.67
21.92,64.63,452.49
20.78,62.52,452.3
14.89,39.82,470.19
13.92,39.85,473.47
24.78,68.63,448.43
31.63,65.74,437.54
25.21,49.82,450.75
7.82,38.91,479.15
12.59,40.03,471.63
8.83,41.14,474.51
30.65,71.98,429.85
17.69,65.46,448.49
25.45,69.59,445.61
25.94,77.24,432.88
10.12,41.55,475.46
16.98,53.16,458.93
18.41,65.94,452.66
23.86,52.84,444.66
24.78,68.63,448.43
12.34,43.22,468.52
32.43,68.31,439.75
14.6,44.84,464.88
14.89,39.58,465.95
22.91,68.63,448.01
24.39,60.84,442.72
24.45,66.49,449.22
23.55,58.79,447.01
10.82,42.02,475.46
15.87,45.0,470.85
20.95,70.72,445.66
33.43,66.44,433.01
13.26,40.83,472.14
5.98,38.91,488.85
10.38,43.02,474.44
21.47,60.77,444.02
31.33,76.86,431.44
31.56,66.44,430.11
28.22,51.43,438.43
15.33,36.71,468.36
15.95,49.25,463.4
12.15,43.71,472.59
21.6,66.86,450.84
21.08,46.93,453.87
25.87,44.57,445.79
14.57,39.28,469.27
10.17,41.46,480.13
19.31,60.07,453.47
14.0,43.34,463.99
26.85,75.6,433.48
26.92,73.17,431.29
26.75,56.57,443.92
23.79,50.16,435.49
17.79,40.12,459.13
5.1,35.57,489.96
21.94,64.15,453.3
20.61,60.1,450.46
11.72,40.35,476.41
17.13,42.86,463.09
22.86,47.43,452.53
24.22,68.51,440.01
14.1,44.84,468.22
11.92,40.62,468.14
26.58,59.39,439.46
25.28,67.69,445.34
14.42,41.16,467.25
18.14,43.56,461.71
15.96,41.66,466.39
32.91,73.56,434.03
28.96,75.23,439.03
14.32,71.14,460.02
15.82,43.34,460.4
28.55,74.33,426.48
30.5,66.75,432.87
21.71,60.27,441.19
29.0,69.13,425.5
19.78,50.32,449.23
25.62,60.29,444.94
24.43,47.45,446.45
13.52,40.83,471.95
24.45,68.63,446.33
33.24,74.34,435.5
24.04,68.94,437.13
21.43,46.97,457.68
13.04,40.69,473.49
13.78,45.51,468.17
9.95,43.56,477.88
23.93,64.45,449.97
18.41,44.89,448.88
28.72,76.86,431.74
25.38,62.96,444.83
28.64,73.4,441.32
15.0,41.35,467.71
30.76,73.17,430.98
25.63,71.58,433.76
22.52,64.27,445.4
28.41,74.16,439.2
25.83,70.47,434.45
21.71,61.45,445.72
19.2,54.2,450.75
11.48,37.5,472.9
11.01,40.05,474.2
29.25,66.51,441.7
17.85,48.14,451.9
16.23,43.72,457.9
14.65,41.92,464.95
16.59,39.54,464.19
11.36,41.48,465.37
14.03,49.83,463.71
29.16,73.17,429.06
10.08,40.72,480.8
27.62,68.27,427.67
14.32,40.78,457.92
29.9,64.79,441.41
10.77,41.46,479.22
19.02,50.66,455.42
10.31,38.18,476.31
13.18,40.24,469.35
24.62,58.66,449.8
18.93,48.6,449.74
24.44,52.84,440.2
11.69,39.22,472.76
15.18,44.2,462.09
31.59,43.5,429.96
23.32,69.23,436.18
26.63,74.22,434.25
12.74,41.38,475.63
16.24,41.93,467.69
24.82,57.19,439.91
28.9,71.25,431.52
7.44,41.04,479.08
22.08,41.1,455.04
21.53,70.02,440.93
27.01,43.77,440.64
9.47,41.4,479.68
28.97,73.5,435.22
16.2,38.73,467.89
11.72,39.18,468.98
12.86,40.6,472.04
15.34,43.5,459.77
14.49,42.86,468.4
16.68,53.16,456.29
16.34,42.28,463.29
26.51,50.05,440.22
8.97,36.24,477.89
6.76,39.81,483.16
19.98,56.53,454.89
16.85,39.64,464.2
31.12,68.14,427.06
24.64,72.24,434.54
4.78,42.85,481.47
25.15,62.91,444.19
4.0,39.9,490.68
21.99,42.48,456.65
13.44,40.69,473.0
