nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
NBA 09: The Inside,PSP,Sports,Sony Computer Entertainment,0.17,7-Oct-08,79.0,9.0,7,5.0,SCEA San Diego Studios
Muramasa: The Demon Blade,Wii,Role-Playing,Rising Star Games,0.57,8-Sep-09,81.0,58.0,8.7,79.0,Vanillaware
Zangeki no Reginleiv,Wii,Action,Nintendo,0.11,,,,,,
Jumper: Griffin's Story,X360,Action,Eidos Interactive,0.05,12-Feb-08,29.0,16.0,3.3,27.0,Red Tribe
Dragon Quest X,Wii,Role-Playing,Square Enix,0.81,TBA,,,,,Square Enix
Major League Baseball 2K12,PS3,Sports,Take-Two Interactive,0.16,6-Mar-12,68.0,8.0,4,4.0,Visual Concepts
Star Wars Battlefront: Elite Squadron,PSP,Shooter,LucasArts,0.7,3-Nov-09,63.0,25.0,8.7,26.0,Savage Entertainment
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,Adventure,Sony Computer Entertainment,0.19,,,,,,
Alpha Protocol,PS3,Role-Playing,Sega,0.39,1-Jun-10,64.0,49.0,6.6,96.0,Obsidian Entertainment
Harukanaru Toki no Naka de 4: Aizouban,PSP,Role-Playing,Tecmo Koei,0.04,,,,,,
Trivial Pursuit,Wii,Misc,Electronic Arts,0.54,10-Mar-09,67.0,11.0,tbd,,EA Bright Light
Virtua Fighter 5 Online,X360,Fighting,Sega,0.26,30-Oct-07,89.0,36.0,7.6,59.0,Sega AM2
Ookami Kakushi,PSP,Action,Konami Digital Entertainment,0.04,,,,,,
Avatar: The Last Airbender - The Burning Earth,X360,Action,THQ,0.12,,,,,,
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PSV,Adventure,ChunSoft,0.05,,,,,,
Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,PSP,Adventure,Idea Factory,0.03,,,,,,
Jaws: Ultimate Predator,3DS,Action,Majesco Entertainment,0.1,1-Dec-11,,,tbd,,"n-Space, MicroProse"
WWE SmackDown vs Raw 2008,X360,Fighting,THQ,1.41,13-Nov-07,71.0,41.0,6.9,40.0,Yuke's
Silent Hill: Book of Memories,PSV,Action,Konami Digital Entertainment,0.11,16-Oct-12,58.0,57.0,5.4,75.0,WayForward
Twinkle * Crusaders GoGo!,PSP,Adventure,ASCII Media Works,0.02,,,,,,
Top Spin 3,Wii,Sports,Take-Two Interactive,0.58,23-Jun-08,68.0,18.0,5.7,29.0,Pam Development
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,Adventure,Capcom,0.37,,,,,,
Higurashi Daybreak Portable Mega Edition,PSP,Adventure,Alchemist,0.02,,,,,,
Summer Athletics: The Ultimate Challenge (Others sales),Wii,Sports,DTP Entertainment,0.22,,,,,,
Sunday vs Magazine Shuuketsu! Choujou Daikessen,PSP,Fighting,Konami Digital Entertainment,0.03,,,,,,
MySims Collection,Wii,Misc,Electronic Arts,0.14,9-Nov-10,,,tbd,,Electronic Arts
Ridge Racer Unbounded,X360,Racing,Namco Bandai Games,0.08,27-Mar-12,71.0,59.0,7.7,52.0,Bugbear
Mahjong * Dream C Club,PS3,Action,D3Publisher,0.04,,,,,,
Tony Hawk's Proving Ground,X360,Sports,Activision,0.54,15-Oct-07,72.0,59.0,5.4,41.0,Neversoft Entertainment
EA Playground,Wii,Sports,Electronic Arts,1.27,22-Oct-07,66.0,32.0,7.5,29.0,EA Canada
Worms,PS3,Strategy,Sony Computer Entertainment,0.02,26-Mar-09,76.0,9.0,6.9,17.0,Team 17
Monopoly,X360,Misc,Electronic Arts,0.57,20-Oct-08,56.0,9.0,5.8,13.0,EA Bright Light
Planet 51,Wii,Action,Sega,0.19,17-Nov-09,53.0,6.0,tbd,,Pyro Studios
Hot Shots Golf: World Invitational,PS3,Sports,Sony Computer Entertainment,0.28,23-Jul-13,,,9,4.0,Clap Hanz
Wii Play,Wii,Misc,Nintendo,28.79,12-Feb-07,58.0,41.0,6.5,103.0,Nintendo
Merv Griffin's Crosswords,Wii,Puzzle,THQ,0.11,20-Nov-08,,,tbd,,"Pipeworks Software, Inc."
Nisenochigiri,PSP,Adventure,Idea Factory,0.02,,,,,,
Toy Story 3: The Video Game,X360,Action,Disney Interactive Studios,0.67,,,,,,
NatGeo Challenge! Wild Life,PS3,Misc,Black Bean Games,0.08,,,,,,
Battlefield 4,PS3,Shooter,Electronic Arts,2.36,29-Oct-13,80.0,14.0,5.8,443.0,EA DICE
Anubis II,Wii,Platform,Metro 3D,0.06,18-Sep-07,19.0,5.0,2.2,21.0,Data Design Interactive
Karaoke Revolution Presents American Idol Encore 2,PS3,Misc,Konami Digital Entertainment,0.1,18-Nov-08,,,tbd,,Blitz Games
X-Blades,PS3,Action,SouthPeak Games,0.11,6-Feb-09,50.0,31.0,6,10.0,Gaijin Entertainment
The Fight: Lights Out,PS3,Fighting,Sony Computer Entertainment,0.51,9-Nov-10,48.0,39.0,7.5,67.0,Coldwood Interactive
Diablo III,PS3,Role-Playing,Activision,0.91,3-Sep-13,86.0,43.0,6.2,438.0,Blizzard Entertainment
The Idolmaster: Gravure For You! Vol. 3,PS3,Misc,Namco Bandai Games,0.08,,,,,,
LEGO Batman 2: DC Super Heroes,X360,Action,Warner Bros. Interactive Entertainment,1.32,19-Jun-12,79.0,59.0,7.1,96.0,TT Games
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,Action,Namco Bandai Games,0.22,,,,,,
Deca Sports,Wii,Sports,Konami Digital Entertainment,2.46,13-May-08,50.0,23.0,5.8,13.0,CAProduction
Sniper Elite V2,WiiU,Shooter,505 Games,0.01,21-May-13,58.0,5.0,5.6,20.0,Rebellion
MotoGP,PSP,Racing,Sony Computer Entertainment,0.03,26-Sep-06,69.0,18.0,8.2,5.0,Namco Bandai Games
NCAA Football 12,PS3,Sports,Electronic Arts,0.78,12-Jul-11,82.0,17.0,5.8,38.0,EA Sports
Marble Saga: Kororinpa,Wii,Puzzle,Konami Digital Entertainment,0.14,17-Mar-09,74.0,16.0,7.2,5.0,Hudson Entertainment
Enslaved: Odyssey to the West,PS3,Action,Namco Bandai Games,0.5,5-Oct-10,80.0,53.0,7.5,230.0,Ninja Theory
Battle Robot Soul,PSP,Action,Namco Bandai Games,0.01,,,,,,
World Championship Poker: Featuring Howard Lederer - All In,X360,Misc,Oxygen Interactive,0.05,,,,,,
Resistance Dual Pack,PS3,Shooter,Sony Computer Entertainment,0.01,5-Jul-11,,,tbd,,Insomniac Games
Sam & Max: Beyond Time and Space,Wii,Adventure,Atari,0.05,,,,,,
Captain America: Super Soldier,3DS,Action,Sega,0.07,25-Oct-11,51.0,9.0,3,4.0,High Voltage Software
Where the Wild Things Are,Wii,Platform,Warner Bros. Interactive Entertainment,0.1,13-Oct-09,65.0,6.0,tbd,,Griptonite Games
Are You Smarter Than a 5th Grader? Back to School,Wii,Misc,Nintendo,0.14,2-Nov-10,,,tbd,,THQ
Zumba Fitness,Wii,Sports,505 Games,6.53,18-Nov-10,,,tbd,,"Pipeworks Software, Inc."
Senritsu no Stratus,PSP,Role-Playing,Konami Digital Entertainment,0.06,,,,,,
Dante's Inferno,PS3,Action,Electronic Arts,1.01,9-Feb-10,75.0,69.0,7.3,190.0,Visceral Games
Pimp My Ride,X360,Racing,Activision,0.1,6-Dec-06,38.0,14.0,3.7,27.0,Eutechnyx
Metal Gear Solid: Portable Ops Plus,PSP,Action,Konami Digital Entertainment,0.68,13-Nov-07,65.0,19.0,7.3,21.0,Kojima Productions
Lips: Number One Hits,X360,Misc,Microsoft Game Studios,0.5,20-Oct-09,70.0,22.0,7.5,6.0,iNiS
Pretty Cure All Stars Everyone Gather ? Let's Dance!,Wii,Misc,Namco Bandai Games,0.05,,,,,,
Sam & Max: Season One,Wii,Adventure,JoWood Productions,0.14,,,,,,
Momotarou Dentetsu 16,Wii,Misc,Hudson Soft,0.1,,,,,,
Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,Action,Namco Bandai Games,0.03,,,,,,
Petz: Catz 2,Wii,Simulation,Ubisoft,0.44,14-Nov-07,,,5.8,6.0,Ubisoft
Far Cry 2,X360,Shooter,Ubisoft,1.56,21-Oct-08,85.0,75.0,6.7,239.0,Ubisoft Montreal
MX vs. ATV Reflex,X360,Racing,THQ,0.63,1-Dec-09,75.0,47.0,6.5,24.0,Rainbow Studios
Transformers: Prime,3DS,Action,Activision,0.09,,,,,,
Gloria Union,PSP,Role-Playing,Atlus,0.03,,,,,,
NBA 09: The Inside,PS3,Sports,Sony Computer Entertainment,0.13,7-Oct-08,63.0,17.0,5.3,6.0,SCEA San Diego Studios
Kawasaki Quad Bikes,Wii,Racing,Data Design Interactive,0.09,31-Dec-07,,,tbd,,Data Design Interactive
NHL 13,PS3,Sports,Electronic Arts,0.52,11-Sep-12,84.0,22.0,6.6,43.0,Electronic Arts
Heavy Rain,PS3,Adventure,Sony Computer Entertainment,2.73,23-Feb-10,87.0,107.0,7.4,2179.0,Quantic Dream
Alice: Madness Returns,X360,Adventure,Electronic Arts,0.42,14-Jun-11,70.0,67.0,8.1,125.0,Spicy Horse
Lego Marvel Super Heroes,XOne,Action,Warner Bros. Interactive Entertainment,0.27,22-Nov-13,,,7.3,41.0,TT Games
XI Coliseum,PSP,Puzzle,Sony Computer Entertainment,0.01,,,,,,
Pirates of the Caribbean: At World's End,X360,Action,Disney Interactive Studios,0.32,22-May-07,58.0,42.0,5.3,21.0,Eurocom Entertainment Software
Tomb Raider: Underworld,Wii,Adventure,Eidos Interactive,0.43,18-Nov-08,70.0,12.0,6.5,14.0,Crystal Dynamics
Pipe Mania,PSP,Puzzle,Empire Interactive,0.05,26-Sep-08,74.0,6.0,tbd,,Empire Interactive
Kotoba no Puzzle: Mojipittan Daijiten,PSP,Puzzle,Namco Bandai Games,0.11,,,,,,
Street Fighter X Tekken,PS3,Fighting,Capcom,0.7,6-Mar-12,84.0,51.0,5.1,158.0,Capcom
NHL 08,PS3,Action,Electronic Arts,0.25,11-Sep-07,86.0,23.0,7.2,22.0,EA Canada
Create,X360,Misc,Electronic Arts,0.11,16-Nov-10,60.0,19.0,5.8,9.0,EA Bright Light
Cross Â† Channel,PSP,Adventure,CyberFront,0.02,,,,,,
Saki Portable,PSP,Adventure,Alchemist,0.04,,,,,,
Phantasy Star Portable 2,PSP,Role-Playing,Sega,0.85,14-Sep-10,69.0,27.0,8.5,22.0,Alfa System
Young Justice: Legacy,3DS,Adventure,Namco Bandai Games,0.02,19-Nov-13,,,5.7,7.0,Farsight Studios
Senran Kagura Burst: Guren no Shoujotachi,3DS,Action,Marvelous Entertainment,0.14,,,,,,
Hollywood Squares,Wii,Misc,Ubisoft,0.09,5-Oct-10,,,tbd,,Ubisoft
Young Justice: Legacy,X360,Adventure,Namco Bandai Games,0.01,19-Nov-13,,,6.2,10.0,Freedom Factory Studios
Dragon's Dogma,X360,Adventure,Capcom,0.68,22-May-12,75.0,59.0,7.8,292.0,Capcom
Crash Time: Autobahn Pusuit,X360,Racing,RTL,0.03,,,,,,
Alvin and the Chipmunks: Chipwrecked,X360,Misc,505 Games,0.08,15-Nov-11,,,1.8,4.0,Behaviour Interactive
Army of Two,PS3,Shooter,Electronic Arts,1.13,6-Mar-08,74.0,43.0,7.3,96.0,EA Montreal
Kyoukai Senjou no Horizon Portable,PSP,Adventure,Kadokawa Shoten,0.05,,,,,,
EA Sports Active,Wii,Sports,Electronic Arts,3.86,19-May-09,81.0,27.0,8.8,37.0,EA Canada
Hellboy: The Science of Evil,PS3,Action,Konami Digital Entertainment,0.13,24-Jun-08,47.0,23.0,6.3,7.0,Krome Studios
Toukiden,PSV,Action,Tecmo Koei,0.24,11-Feb-14,74.0,19.0,8.6,45.0,Omega Force
Tales of Phantasia: Narikiri Dungeon X,PSP,Role-Playing,Namco Bandai Games,0.21,,,,,,
Grand Theft Auto V,PS3,Action,Take-Two Interactive,16.71,17-Sep-13,97.0,50.0,8.2,2586.0,Rockstar North
Higurashi no Naku Koro ni: Jan,PSP,Misc,AQ Interactive,0.02,,,,,,
Grand Theft Auto V,X360,Action,Take-Two Interactive,13.33,17-Sep-13,97.0,58.0,8.1,2714.0,Rockstar North
NCIS,Wii,Adventure,Ubisoft,0.12,1-Nov-11,,,tbd,,Ubisoft
Tomb Raider: Anniversary,Wii,Action,Eidos Interactive,0.83,13-Nov-07,73.0,22.0,6.9,20.0,Crystal Dynamics
Pocket Pool,PSP,Action,Conspiracy Entertainment,0.04,18-Apr-07,37.0,19.0,tbd,,Conspiracy Entertainment
Brothers Conflict: Brilliant Blue,PSP,Adventure,Idea Factory,0.03,,,,,,
Ultimate Marvel vs. Capcom 3,PSV,Fighting,Capcom,0.21,15-Feb-12,80.0,48.0,7.5,72.0,Capcom
The Amazing Spider-Man (Console Version),PS3,Action,Activision,0.59,,,,,,
Pro Yakyuu Spirits 2011,PS3,Sports,Konami Digital Entertainment,0.18,,,,,,
Nano Assault,3DS,Shooter,Majesco Entertainment,0.06,5-Dec-11,75.0,8.0,8.1,13.0,Shin'en
Rock Band Country Track Pack 2,X360,Misc,MTV Games,0.03,1-Feb-11,,,tbd,,Electronic Arts
Pac-Man Party,Wii,Misc,Namco Bandai Games,0.57,16-Nov-10,59.0,14.0,4.8,6.0,TOSE
JoJo's Bizarre Adventure: All Star Battle,PS3,Fighting,Namco Bandai Games,0.49,Q2 2014,,,,,CyberConnect2
Tantei Opera: Milky Holmes,PSP,Adventure,Unknown,0.02,,,,,,
FIFA 07 Soccer,PSP,Sports,Electronic Arts,1.2,17-Oct-06,80.0,15.0,9.1,22.0,EA Sports
Quantum Conundrum,PS3,Action,Square Enix ,0.01,10-Jul-12,79.0,14.0,7.3,44.0,Airtight Games
The Conveni Portable,PSP,Simulation,Hamster Corporation,0.01,,,,,,
Guitar Hero: Metallica,Wii,Misc,Activision,0.91,29-Mar-09,85.0,20.0,8.3,12.0,Neversoft Entertainment
Chrysler Classic Racing,Wii,Racing,Zoo Games,0.06,25-Nov-08,40.0,4.0,tbd,,Extra Mile Studios
Monsters vs. Aliens,X360,Platform,Activision,0.14,24-Mar-09,63.0,31.0,6.6,7.0,Beenox
Max Payne 3,PS3,Shooter,Take-Two Interactive,1.61,15-May-12,87.0,31.0,7.7,597.0,Rockstar Studios
Harry Potter and the Order of the Phoenix,Wii,Adventure,Electronic Arts,0.44,25-Jun-07,69.0,34.0,7.3,27.0,EA Games
Jyuzaengi: Engetsu Sangokuden,PSP,Action,Idea Factory,0.03,,,,,,
Major Dream: Major Wii Nagero! Gyroball!!,Wii,Sports,Takara Tomy,0.01,,,,,,
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,Misc,Unknown,0.03,,,,,,
The Simpsons Game,PSP,Action,Electronic Arts,1.03,5-Nov-07,59.0,7.0,6.5,13.0,Electronic Arts
World Series of Poker: Tournament of Champions 2007 Edition,PSP,Misc,Activision,0.1,,,,,,
Jonah Lomu Rugby Challenge,PS3,Sports,Home Entertainment Suppliers,0.23,TBA,64.0,6.0,,,Sidhe Interactive
Killzone: Liberation,PSP,Shooter,Sony Computer Entertainment,0.85,31-Oct-06,77.0,56.0,8.4,63.0,Guerrilla
Alpha Protocol,X360,Role-Playing,Sega,0.36,1-Jun-10,63.0,68.0,7.3,175.0,Obsidian Entertainment
Rune Factory: Tides of Destiny,PS3,Role-Playing,Marvelous Interactive,0.18,7-Oct-11,55.0,12.0,7.6,27.0,Neverland
Godzilla Unleashed,Wii,Fighting,Atari,0.15,5-Dec-07,44.0,31.0,6.9,28.0,"Pipeworks Software, Inc."
Memories Off: Sorekara,PSP,Adventure,5pb,0.01,,,,,,
Get Up and Dance,PS3,Misc,O-Games,0.03,15-Nov-11,,,tbd,,Crave
Kenka Bancho Bros: Tokyo Battle Royale,PSP,Action,Spike,0.1,,,,,,
Tekken Hybrid,PS3,Fighting,Namco Bandai Games,0.29,22-Nov-11,65.0,51.0,6.1,22.0,Namco Bandai Games
Super Robot Taisen A Portable,PSP,Strategy,Namco Bandai Games,0.18,,,,,,
Starry ? Sky: After Summer,PSP,Role-Playing,Asgard,0.02,,,,,,
International Cricket 2010,X360,Sports,Codemasters,0.13,,,,,,
PQ: Practical Intelligence Quotient,PSP,Puzzle,D3Publisher,0.08,10-Jan-06,69.0,34.0,tbd,,Now Production
PlayStation Move Heroes,PS3,Platform,Sony Computer Entertainment,0.14,22-Mar-11,53.0,39.0,6.2,15.0,Nihilistic
Ys Seven,PSP,Role-Playing,Falcom Corporation,0.2,17-Aug-10,79.0,27.0,8.5,44.0,Falcom
Umineko no Naku Koro ni Portable 1,PSP,Adventure,Alchemist,0.01,,,,,,
Assassin's Creed,X360,Adventure,Ubisoft,5.39,13-Nov-07,81.0,77.0,7.8,844.0,Ubisoft Montreal
Bamboo Blade: Sorekara no Chousen,PSP,Adventure,Gadget Soft,0.01,,,,,,
Blazing Angels 2: Secret Missions of WWII,X360,Simulation,Ubisoft,0.12,18-Sep-07,72.0,24.0,8.3,9.0,Ubisoft Romania
Disgaea D2,PS3,Action,Nippon Ichi Software,0.16,,,,,,
Dewy's Adventure,Wii,Platform,Konami Digital Entertainment,0.16,25-Sep-07,67.0,29.0,6.3,15.0,Konami
Iron Man 2,Wii,Action,Sega,0.31,4-May-10,41.0,11.0,4.8,10.0,"Sega Studios, San Francisco"
Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,PSP,Adventure,Idea Factory,0.03,,,,,,
Capcom Classics Collection Reloaded,PSP,Misc,Capcom,0.3,24-Oct-06,75.0,27.0,tbd,,Capcom
Legend of the Guardians: The Owls of Ga'Hoole,PS3,Action,Warner Bros. Interactive Entertainment,0.04,14-Sep-10,62.0,9.0,tbd,,Krome Studios
Hot Shots Golf: World Invitational,PSV,Sports,Sony Computer Entertainment,0.43,7-Feb-12,76.0,55.0,8.2,59.0,Clap Hanz
Ape Escape,PS3,Platform,Sony Computer Entertainment,0.03,5-Jul-11,43.0,23.0,4.9,14.0,SCE Japan Studio
Fuse,X360,Shooter,Electronic Arts,0.08,28-May-13,62.0,46.0,5.5,119.0,Insomniac Games
Final Fantasy XI: Vana'diel Collection 2008,X360,Role-Playing,Square Enix,0.15,20-Nov-07,,,tbd,,Square Enix
Disney Sing It! High School Musical 3: Senior Year,Wii,Misc,Disney Interactive Studios,0.56,,,,,,
Dead Space 3,PS3,Shooter,Electronic Arts,0.76,5-Feb-13,76.0,37.0,6.4,410.0,Visceral Games
Call of Juarez: Bound in Blood,PS3,Shooter,Ubisoft,0.83,30-Jun-09,78.0,47.0,7.9,67.0,Techland
Da Capo I & II Plus Situation Portable,PSP,Adventure,Kadokawa Shoten,0.04,,,,,,
Brave: The Video Game,Wii,Action,Disney Interactive Studios,0.01,19-Jun-12,50.0,5.0,5.3,7.0,Disney Interactive Studios
Tom Clancy's Ghost Recon Advanced Warfighter,X360,Shooter,Ubisoft,1.5,9-Mar-06,90.0,78.0,7.9,185.0,Ubisoft Paris
Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita,PS3,Role-Playing,Nippon Ichi Software,0.01,,,,,,
Little League World Series Baseball: Double Play,Wii,Sports,Activision,0.07,13-Jul-10,,,tbd,,Activision
Dissidia: Final Fantasy,PSP,Fighting,Square Enix,2.19,25-Aug-09,79.0,61.0,7.8,92.0,Square Enix
SimAnimals Africa,Wii,Simulation,Electronic Arts,0.11,27-Oct-09,53.0,7.0,tbd,,Electronic Arts
Robotics;Notes,X360,Adventure,5pb,0.02,,,,,,
Atelier Meruru: Alchemist of Arland 3,PSV,Role-Playing,Gust,0.06,,,,,,
Shaun White Snowboarding,PS3,Sports,Ubisoft,0.62,16-Nov-08,63.0,30.0,6.3,24.0,Ubisoft Montreal
Major League Baseball 2K12,X360,Sports,Take-Two Interactive,0.46,6-Mar-12,68.0,19.0,6.4,21.0,Visual Concepts
The Darkness II,X360,Shooter,Take-Two Interactive,0.33,7-Feb-12,80.0,71.0,7.5,190.0,Digital Extremes
Formula 1: Championship Edition,PS3,Racing,Sony Computer Entertainment,0.61,,,,,,
Conflict: Denied Ops,PS3,Shooter,Eidos Interactive,0.17,12-Feb-08,51.0,28.0,3,24.0,Pivotal Games
Kobitodzukan: Kobito Kansatsu Set,3DS,Action,Nippon Columbia,0.27,,,,,,
Excite Truck,Wii,Racing,Nintendo,0.52,19-Nov-06,72.0,57.0,8.5,79.0,Monster Games Inc.
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,5.26,6-Nov-07,80.0,17.0,8.8,46.0,Traveller's Tales
Mario Party 3D,3DS,Action,Nintendo,0.34,,,,,,
Winter Stars,X360,Sports,Deep Silver,0.07,15-Nov-11,46.0,9.0,tbd,,49Games
Gears of War,X360,Shooter,Microsoft Game Studios,6.03,7-Nov-06,94.0,88.0,8.3,1953.0,Epic Games
Truth or Lies,Wii,Misc,THQ,0.09,14-Sep-10,,,tbd,,THQ
Pro Yakyuu Spirits 5 Kanzenban,PS3,Sports,Konami Digital Entertainment,0.03,,,,,,
Dragon Age II,PS3,Role-Playing,Electronic Arts,0.71,8-Mar-11,82.0,52.0,4,1079.0,BioWare
Minute to Win It,Wii,Misc,Zoo Games,0.23,5-Nov-10,,,tbd,,Zoo Games
Coded Arms,PSP,Shooter,Konami Digital Entertainment,0.74,6-Jul-05,59.0,42.0,6.4,58.0,Konami
Need for Speed Rivals,PS4,Racing,Electronic Arts,0.71,15-Nov-13,80.0,53.0,6.6,335.0,Ghost Games
Zoo Resort 3D,3DS,Simulation,Ubisoft,0.2,25-Oct-11,,,tbd,,AQ Interactive
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,PSP,Adventure,Yeti,0.03,,,,,,
Last Ranker,PSP,Role-Playing,Capcom,0.13,,,,,,
SpongeBob's Truth or Square (US sales),Wii,Action,THQ,0.36,,,,,,
Where's Waldo? The Fantastic Journey,Wii,Adventure,Ubisoft,0.18,22-Sep-09,,,tbd,,Classic Media Distribution Limited
Call of Juarez: Bound in Blood,X360,Shooter,Ubisoft,0.58,30-Jun-09,77.0,77.0,7.7,76.0,Techland
Wall-E,Wii,Platform,THQ,1.0,24-Jun-08,51.0,18.0,3.3,7.0,Heavy Iron Studios
Bomberman,PSP,Puzzle,Konami Digital Entertainment,0.15,12-Sep-06,73.0,30.0,5.8,4.0,Hudson
The Sims 3 (Mobile Versions),3DS,Simulation,Electronic Arts,0.25,,,,,,
Need for Speed: Shift,PS3,Racing,Electronic Arts,2.58,15-Sep-09,84.0,55.0,6.8,93.0,Slightly Mad Studios
Sekai wa Atashi de Mawatteru: Hikari to Yami no Princess,PSP,Role-Playing,Global A Entertainment,0.01,,,,,,
Just Cause,X360,Action,Eidos Interactive,0.12,27-Sep-06,73.0,57.0,7.4,41.0,Avalanche Studios
UFC Undisputed 2010,PSP,Fighting,THQ,0.18,7-Sep-10,74.0,27.0,6.9,9.0,Yuke's
Project Runway,Wii,Simulation,Atari,0.23,18-Jun-10,,,tbd,,Tornado Studios
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,Misc,Hudson Soft,0.41,,,,,,
Naughty Bear,X360,Action,505 Games,0.37,25-Jun-10,43.0,51.0,5.5,65.0,Artificial Mind and Movement
Build 'n Race,Wii,Racing,Zoo Games,0.08,4-Aug-09,,,tbd,,Icon Games
Patapon 2,PSP,Platform,Sony Computer Entertainment,0.09,7-May-09,81.0,49.0,8.6,45.0,SCE Japan Studio
Smile PreCure! Let's Go! Marchen World,3DS,Action,Namco Bandai Games,0.06,,,,,,
Yamasa Digi Portable: Matsuri no Tatsujin - Win-Chan no Natsumatsuri,PSP,Misc,Yamasa Entertainment,0.02,,,,,,
Cooking Mama: Cook Off,Wii,Simulation,505 Games,2.86,20-Mar-07,61.0,37.0,5.3,23.0,OfficeCreate
WWE 2K14,X360,Sports,Take-Two Interactive,0.72,29-Oct-13,75.0,42.0,7.4,65.0,Yuke's
Jikkyou Powerful Pro Yakyuu Wii Ketteiban,Wii,Sports,Konami Digital Entertainment,0.03,,,,,,
EA Sports Active 2,Wii,Sports,Electronic Arts,1.21,16-Nov-10,79.0,8.0,8.1,20.0,EA Canada
God Eater 2,PSV,Action,Namco Bandai Games,0.39,,,,,,
Buzz! The Ultimate Music Quiz,PS3,Misc,Sony Computer Entertainment,0.3,,,,,,
Alien Monster Bowling League,Wii,Sports,Destineer,0.09,20-Oct-09,,,tbd,,Destineer
Ace Combat: Joint Assault,PSP,Simulation,Namco Bandai Games,0.28,31-Aug-10,71.0,30.0,6.8,10.0,Project Aces
Dream C Club,PS3,Simulation,D3Publisher,0.02,,,,,,
WWE SmackDown vs. Raw 2011,PSP,Fighting,THQ,0.66,26-Oct-10,,,tbd,,Yuke's
WipeOut 3 The Game,WiiU,Action,Activision,0.07,,,,,,
FIFA Street 3,X360,Sports,Electronic Arts,0.25,18-Feb-08,63.0,48.0,7.1,16.0,EA Canada
SD Gundam G Generation 3D,3DS,Role-Playing,Namco Bandai Games,0.16,,,,,,
Zumba Fitness 2,Wii,Sports,Majesco Entertainment,2.71,15-Nov-11,,,tbd,,Majesco Games
Fatal Frame 2: Wii Edition,Wii,Action,Nintendo,0.1,,,,,,
Army Men: Soldiers of Misfortune,Wii,Shooter,Zoo Games,0.13,10-Oct-08,,,2.5,6.0,Big Blue Bubble Inc.
Hasbro Family Game Night 3,X360,Misc,Electronic Arts,0.19,26-Oct-10,,,tbd,,Electronic Arts
F.E.A.R. Files,X360,Shooter,Vivendi Games,0.07,6-Nov-07,66.0,43.0,6.8,13.0,"TimeGate Studios, Day 1 Studios"
Monsters vs. Aliens,Wii,Platform,Activision,0.24,24-Mar-09,69.0,12.0,tbd,,Beenox
No More Heroes,Wii,Action,Rising Star Games,0.54,22-Jan-08,83.0,64.0,8.5,215.0,Grasshopper Manufacture
Summer Sports: Paradise Island,Wii,Sports,Ubisoft,0.52,15-Apr-08,46.0,7.0,4.6,7.0,Destineer
Tiger Woods PGA Tour 06,PSP,Sports,Electronic Arts,0.2,26-Sep-05,80.0,15.0,9,7.0,Team Fusion
Reload: Target Down,Wii,Shooter,Mastiff,0.24,18-Nov-10,,,tbd,,Mastiff
Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,Action,Idea Factory,0.06,,,,,,
Call of Duty 3,X360,Shooter,Activision,2.64,7-Nov-06,82.0,71.0,6.5,167.0,Treyarch
WRC: FIA World Rally Championship,X360,Racing,Black Bean Games,0.11,20-Oct-10,66.0,24.0,tbd,,Milestone S.r.l
Tomb Raider (2013),PS3,Action,Square Enix,1.84,,,,,,
NCAA Football 07,X360,Sports,Electronic Arts,0.71,18-Jul-06,79.0,43.0,6.9,19.0,EA Sports
Game Party in Motion,X360,Misc,Warner Bros. Interactive Entertainment,0.5,18-Nov-10,33.0,6.0,2.9,8.0,Farsight Studios
Dream C Club Portable,PSP,Simulation,D3Publisher,0.06,,,,,,
Harvey Birdman: Attorney at Law,PSP,Adventure,Capcom,0.07,8-Jan-08,62.0,19.0,9.2,6.0,High Voltage Software
NASCAR 2011: The Game,PS3,Racing,Activision,0.25,29-Mar-11,62.0,16.0,3.3,12.0,Eutechnyx
Monster Hunter Freedom 3,PSP,Role-Playing,Capcom,4.87,,,,,,
Cook Wars,Wii,Misc,Ubisoft,0.04,24-Nov-09,,,tbd,,Ubisoft
Rio,PS3,Misc,THQ,0.07,12-Apr-11,65.0,8.0,tbd,,Eurocom Entertainment Software
Medal of Honor Heroes 2,Wii,Shooter,Electronic Arts,0.4,13-Nov-07,73.0,37.0,7.6,81.0,EA Canada
