nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Backyard Sports: Sandlot Sluggers,Wii,Sports,Atari,0.12,25-May-10,,,tbd,,HB Studios Multimedia
Marvel Super Hero Squad: The Infinity Gauntlet,X360,Action,THQ,0.12,16-Nov-10,55.0,10.0,5.6,5.0,THQ
Bakugan Battle Brawlers: Defenders of the Core,X360,Action,Activision,0.12,26-Oct-10,62.0,10.0,tbd,,Now Production
Create,PS3,Misc,Electronic Arts,0.11,16-Nov-10,61.0,23.0,5,4.0,EA Bright Light
Create,X360,Misc,Electronic Arts,0.11,16-Nov-10,60.0,19.0,5.8,9.0,EA Bright Light
Backyard Sports Football: Rookie Rush,Wii,Sports,Atari,0.11,,,,,,
Monster Jam: Path of Destruction,X360,Racing,Activision,0.1,9-Nov-10,,,tbd,,Virtuos
Truth or Lies,X360,Misc,THQ,0.1,14-Sep-10,28.0,6.0,4.2,5.0,THQ
The History Channel: Great Battles - Medieval,X360,Strategy,Slitherine Software,0.1,,,,,,
Cabela's North American Adventures,X360,Sports,Activision,0.1,7-Sep-10,51.0,5.0,tbd,,FUN Labs
Cabela's North American Adventures,PS3,Sports,Activision,0.1,14-Sep-10,,,tbd,,FUN Labs
Legend of the Guardians: The Owls of Ga'Hoole,Wii,Action,Warner Bros. Interactive Entertainment,0.1,14-Sep-10,54.0,5.0,tbd,,Tantatus
Blood Drive,X360,Racing,Activision,0.1,2-Nov-10,40.0,21.0,5.9,7.0,Sidhe Interactive
Disney Sing It: Party Hits,PS3,Misc,Disney Interactive Studios,0.1,12-Oct-10,,,tbd,,Disney Interactive Studios
John Daly's ProStroke Golf,PS3,Sports,O-Games,0.09,5-Oct-10,58.0,23.0,4.1,8.0,Gusto Games
Truth or Lies,Wii,Misc,THQ,0.09,14-Sep-10,,,tbd,,THQ
Attack of the Movies 3D,Wii,Shooter,Majesco Entertainment,0.09,18-May-10,39.0,6.0,tbd,,Majesco Games
Tom Clancy's HAWX 2,Wii,Action,Ubisoft,0.09,9-Nov-10,47.0,11.0,tbd,,Ubisoft
nail'd,X360,Racing,Deep Silver,0.08,30-Nov-10,64.0,49.0,7.8,12.0,Techland
Backyard Sports Football: Rookie Rush,X360,Sports,Atari,0.08,,,,,,
nail'd,PS3,Racing,Deep Silver,0.08,30-Nov-10,66.0,36.0,6.5,10.0,Techland
NatGeo Challenge! Wild Life,PS3,Misc,Black Bean Games,0.08,,,,,,
Backyard Sports: Sandlot Sluggers,X360,Sports,Atari,0.08,25-May-10,,,3.8,4.0,HB Studios Multimedia
Criminal Girls,PSP,Role-Playing,Nippon Ichi Software,0.08,,,,,,
The Lord of the Rings: Aragorn's Quest,PSP,Action,Warner Bros. Interactive Entertainment,0.07,14-Sep-10,,,tbd,,TT Fusion
Truth or Lies,PS3,Misc,THQ,0.07,14-Sep-10,,,tbd,,THQ
Ken to Mahou to Gakuen Mono. 3,PS3,Role-Playing,Acquire,0.07,,,,,,
Get Fit with Mel B,Wii,Sports,Black Bean Games,0.07,14-Sep-11,,,tbd,,Lightning Fish Games
Bass Pro Shops: The Hunt,X360,Sports,Griffin International,0.07,2-Jun-10,,,tbd,,Griffin International
Winning Post 7 2010,PS3,Sports,Tecmo Koei,0.07,,,,,,
Man vs. Wild,PS3,Adventure,Abylight,0.07,26-Apr-11,,,tbd,,Scientifically Proven
Cabela's North American Adventures,PSP,Sports,Activision,0.07,14-Sep-10,,,tbd,,FUN Labs
Major League Baseball 2K10,PSP,Sports,Take-Two Interactive,0.06,2-Mar-10,,,tbd,,Visual Concepts
Blood Drive,PS3,Racing,Activision,0.06,2-Nov-10,47.0,11.0,tbd,,Sidhe Interactive
Monster Jam: Path of Destruction,PSP,Racing,Activision,0.06,9-Nov-10,,,tbd,,Virtuos
Winning Post 7 2010,PSP,Sports,Tecmo Koei,0.05,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole,X360,Action,Warner Bros. Interactive Entertainment,0.05,14-Sep-10,60.0,13.0,tbd,,Krome Studios
Rapala Pro Bass Fishing 2010,PSP,Sports,Activision,0.04,28-Sep-10,,,tbd,,FUN Labs
Winter Sports 3: The Great Tournament,Wii,Sports,Tradewest,0.04,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole,PS3,Action,Warner Bros. Interactive Entertainment,0.04,14-Sep-10,62.0,9.0,tbd,,Krome Studios
Attack of the Movies 3D,X360,Shooter,Majesco Entertainment,0.04,18-May-10,38.0,8.0,0.8,9.0,Panic Button
NatGeo Challenge! Wild Life,Wii,Misc,Black Bean Games,0.03,,,,,,
No More Heroes: Heroes' Paradise,X360,Action,Marvelous Interactive,0.02,,,,,,
11eyes: CrossOver,PSP,Adventure,5pb,0.02,,,,,,
Winter Sports 3: The Great Tournament,PS3,Sports,Tradewest,0.02,,,,,,
Strike Witches: Shirogane no Tsubasa,X360,Strategy,CyberFront,0.02,,,,,,
NatGeo Challenge! Wild Life,X360,Misc,Black Bean Games,0.02,,,,,,
No Fate! Only the Power of Will,X360,Adventure,Alchemist,0.01,,,,,,
John Daly's ProStroke Golf,X360,Sports,O-Games,0.01,Canceled,57.0,5.0,,,Gusto Games
Winter Sports 3: The Great Tournament,X360,Sports,Tradewest,0.01,TBA,,,,,49Games
No Fate! Only the Power of Will,PSP,Adventure,Alchemist,0.01,,,,,,
Just Dance 3,Wii,Misc,Ubisoft,9.87,7-Oct-11,74.0,15.0,7.6,12.0,Ubisoft
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,7.8,11-Nov-11,96.0,89.0,8.4,2938.0,Bethesda Game Studios
Battlefield 3,X360,Shooter,Electronic Arts,7.11,25-Oct-11,84.0,57.0,7.4,2054.0,EA DICE
Battlefield 3,PS3,Shooter,Electronic Arts,6.81,25-Oct-11,85.0,38.0,7.4,1617.0,EA DICE
FIFA Soccer 12,PS3,Sports,Electronic Arts,6.48,27-Sep-11,90.0,44.0,7.2,284.0,Electronic Arts
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,5.29,11-Nov-11,92.0,16.0,6,2045.0,Bethesda Game Studios
FIFA Soccer 12,X360,Sports,Electronic Arts,4.1,27-Sep-11,90.0,69.0,6.7,290.0,Electronic Arts
Assassin's Creed: Revelations,PS3,Action,Ubisoft,4.03,15-Nov-11,80.0,39.0,7.5,451.0,Ubisoft Montreal
Assassin's Creed: Revelations,X360,Action,Ubisoft,4.02,15-Nov-11,80.0,77.0,7.1,458.0,Ubisoft Montreal
Skylanders: Spyro's Adventure,Wii,Action,Activision,2.66,16-Oct-11,81.0,11.0,5.3,22.0,Toys for Bob
Madden NFL 12,X360,Sports,Electronic Arts,2.61,30-Aug-11,78.0,55.0,5.9,87.0,EA Tiburon
Mortal Kombat,PS3,Fighting,Warner Bros. Interactive Entertainment,2.41,19-Apr-11,84.0,60.0,8.2,364.0,NetherRealm Studios
Dead Island,X360,Action,Deep Silver,2.24,6-Sep-11,71.0,75.0,7,534.0,Techland
Madden NFL 12,PS3,Sports,Electronic Arts,2.15,30-Aug-11,79.0,31.0,5.4,49.0,EA Tiburon
Dead Island,PS3,Action,Deep Silver,2.01,6-Sep-11,71.0,41.0,6.6,348.0,Techland
Just Dance 3,X360,Misc,Ubisoft,1.94,7-Oct-11,70.0,34.0,7.9,14.0,Ubisoft
Need for Speed: The Run,PS3,Racing,Electronic Arts,1.87,15-Nov-11,64.0,48.0,6.4,148.0,Black Box
Mortal Kombat,X360,Fighting,Warner Bros. Interactive Entertainment,1.8,19-Apr-11,86.0,66.0,8.3,338.0,NetherRealm Studios
Portal 2,X360,Shooter,Valve Software,1.78,19-Apr-11,95.0,66.0,8.4,850.0,Valve Software
Rage,X360,Shooter,Bethesda Softworks,1.52,4-Oct-11,81.0,77.0,6.6,488.0,id Software
Portal 2,PS3,Shooter,Valve,1.51,19-Apr-11,95.0,54.0,8.3,738.0,Valve Software
Homefront,X360,Shooter,THQ,1.4,15-Mar-11,70.0,85.0,6,371.0,Kaos Studios
LEGO Pirates of the Caribbean: The Video Game,Wii,Action,Disney Interactive Studios,1.39,10-May-11,73.0,14.0,6.8,11.0,Traveller's Tales
Mass Effect 2,PS3,Role-Playing,Electronic Arts,1.32,18-Jan-11,94.0,62.0,8.4,818.0,BioWare
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,Capcom,1.27,15-Feb-11,84.0,56.0,7.2,135.0,Capcom
Need for Speed: The Run,X360,Racing,Electronic Arts,1.27,15-Nov-11,68.0,65.0,6,140.0,Black Box
Deus Ex: Human Revolution,X360,Shooter,Square Enix,1.25,23-Aug-11,89.0,70.0,8.3,570.0,Eidos Montreal
Deus Ex: Human Revolution,PS3,Shooter,Square Enix,1.23,23-Aug-11,89.0,50.0,8.2,530.0,Eidos Montreal
Rage,PS3,Shooter,Bethesda Softworks,1.23,4-Oct-11,81.0,37.0,6.1,307.0,id Software
WWE '12,X360,Fighting,THQ,1.22,22-Nov-11,71.0,52.0,6.3,76.0,Yuke's
F1 2011,PS3,Racing,Codemasters,1.14,20-Sep-11,82.0,36.0,7.2,50.0,Codemasters
WWE '12,PS3,Fighting,THQ,1.09,22-Nov-11,72.0,28.0,6.7,56.0,Yuke's
Dragon Age II,X360,Role-Playing,Electronic Arts,1.03,8-Mar-11,79.0,75.0,4.4,2221.0,BioWare
Marvel vs. Capcom 3: Fate of Two Worlds,X360,Fighting,Capcom,1.02,15-Feb-11,85.0,77.0,7,161.0,Capcom
Rocksmith,X360,Misc,Ubisoft,0.99,18-Oct-11,77.0,30.0,8.2,61.0,Ubisoft
Brink,X360,Shooter,Bethesda Softworks,0.98,10-May-11,68.0,85.0,5.8,378.0,Splash Damage
Bulletstorm,X360,Shooter,Electronic Arts,0.97,22-Feb-11,84.0,83.0,7.5,383.0,"People Can Fly, Epic Games"
NCAA Football 12,X360,Sports,Electronic Arts,0.96,12-Jul-11,82.0,25.0,6.5,47.0,EA Sports
DiRT 3,PS3,Racing,Codemasters,0.95,24-May-11,87.0,52.0,7.1,89.0,Codemasters
Rocksmith,PS3,Misc,Ubisoft,0.92,18-Oct-11,80.0,27.0,8.1,50.0,Ubisoft
Omerta: City of Gangsters,PS3,Simulation,Konami Digital Entertainment,0.91,,,,,,
Disney Universe,Wii,Action,Disney Interactive Studios,0.9,25-Oct-11,61.0,11.0,5.8,4.0,Eurocom Entertainment Software
Skylanders: Spyro's Adventure,X360,Action,Activision,0.88,16-Oct-11,78.0,35.0,5.7,46.0,Toys for Bob
Rayman Origins,PS3,Platform,Ubisoft,0.87,15-Nov-11,87.0,43.0,8.4,183.0,UBlart Montpellier
Homefront,PS3,Shooter,THQ,0.85,15-Mar-11,70.0,60.0,5.6,149.0,Kaos Studios
LEGO Pirates of the Caribbean: The Video Game,X360,Action,Disney Interactive Studios,0.84,10-May-11,73.0,54.0,6.9,27.0,Traveller's Tales
Dynasty Warriors 7,PS3,Action,Tecmo Koei,0.83,29-Mar-11,57.0,25.0,7.4,45.0,Omega Force
Driver: San Francisco,PS3,Racing,Ubisoft,0.83,6-Sep-11,79.0,53.0,7.5,85.0,Ubisoft Reflections
Tiger Woods PGA Tour 12: The Masters,PS3,Sports,Electronic Arts,0.82,29-Mar-11,80.0,41.0,7.3,16.0,Electronic Arts
Michael Jackson: The Experience,X360,Misc,Ubisoft,0.79,12-Apr-11,63.0,31.0,6.2,24.0,Ubisoft Montreal
NCAA Football 12,PS3,Sports,Electronic Arts,0.78,12-Jul-11,82.0,17.0,5.8,38.0,EA Sports
LEGO Pirates of the Caribbean: The Video Game,PS3,Action,Disney Interactive Studios,0.78,10-May-11,73.0,42.0,7,18.0,Traveller's Tales
Skylanders: Spyro's Adventure,PS3,Action,Activision,0.76,16-Oct-11,77.0,18.0,5.3,31.0,Toys for Bob
FIFA Soccer 12,Wii,Sports,Electronic Arts,0.73,26-Sep-11,70.0,9.0,5.9,13.0,Electronic Arts
Dragon Age II,PS3,Role-Playing,Electronic Arts,0.71,8-Mar-11,82.0,52.0,4,1079.0,BioWare
Rayman Origins,X360,Platform,Ubisoft,0.69,15-Nov-11,87.0,55.0,8.2,167.0,UBlart Montpellier
Goldeneye 007: Reloaded,PS3,Shooter,Activision,0.67,1-Nov-11,72.0,38.0,6.3,41.0,Eurocom Entertainment Software
F1 2011,X360,Racing,Codemasters,0.67,20-Sep-11,84.0,61.0,7.3,48.0,Codemasters
Brink,PS3,Shooter,Bethesda Softworks,0.67,10-May-11,72.0,39.0,6,151.0,Splash Damage
DiRT 3,X360,Racing,Codemasters,0.66,24-May-11,87.0,81.0,7,134.0,Codemasters
Driver: San Francisco,X360,Racing,Ubisoft,0.61,6-Sep-11,80.0,63.0,7.6,107.0,Ubisoft Reflections
Top Spin 4,PS3,Sports,Take-Two Interactive,0.6,15-Mar-11,82.0,37.0,7.5,41.0,2K Czech
Omerta: City of Gangsters,X360,Simulation,Konami Digital Entertainment,0.59,12-Feb-13,43.0,18.0,2.2,18.0,Kalypso
Tiger Woods PGA Tour 12: The Masters,X360,Sports,Electronic Arts,0.57,29-Mar-11,80.0,50.0,5.9,22.0,Electronic Arts
Warriors Orochi 3,PS3,Action,Ubisoft Annecy,0.57,20-Mar-12,70.0,17.0,8.1,28.0,Omega Force
The Black Eyed Peas Experience,Wii,Misc,Ubisoft,0.56,8-Nov-11,,,tbd,,Ubisoft Quebec
The Sims 3 (Mobile Versions),X360,Simulation,Electronic Arts,0.54,,,,,,
Dragon Ball Z: Ultimate Tenkaichi,PS3,Fighting,Namco Bandai Games,0.54,25-Oct-11,58.0,26.0,5.5,57.0,Spike
Just Dance 3,PS3,Misc,Ubisoft,0.52,6-Dec-11,75.0,5.0,6,6.0,Ubisoft
Disney Universe,PS3,Action,Disney Interactive Studios,0.52,25-Oct-11,70.0,29.0,7.3,10.0,Eurocom Entertainment Software
Disgaea 4: A Promise Unforgotten,PS3,Role-Playing,Nippon Ichi Software,0.51,6-Sep-11,80.0,39.0,7.5,107.0,Nippon Ichi Software
LEGO Pirates of the Caribbean: The Video Game,3DS,Action,Disney Interactive Studios,0.5,10-May-11,71.0,16.0,7.1,18.0,Traveller's Tales
Two Worlds II,X360,Role-Playing,Unknown,0.5,25-Jan-11,67.0,50.0,6.6,121.0,Reality Pump
Rayman Origins,Wii,Platform,Ubisoft,0.49,15-Nov-11,92.0,13.0,8,96.0,UBlart Montpellier
Skylanders: Spyro's Adventure,3DS,Action,Activision,0.49,16-Oct-11,82.0,8.0,5.2,48.0,Vicarious Visions
Disney Universe,X360,Action,Disney Interactive Studios,0.49,25-Oct-11,66.0,31.0,5.6,8.0,Eurocom Entertainment Software
Alice: Madness Returns,PS3,Adventure,Electronic Arts,0.49,14-Jun-11,70.0,52.0,7.9,131.0,Spicy Horse
FIFA Soccer 12,PSP,Sports,Electronic Arts,0.47,27-Sep-11,,,4.5,8.0,Electronic Arts
Dragon Ball Z: Ultimate Tenkaichi,X360,Fighting,Namco Bandai Games,0.47,25-Oct-11,55.0,24.0,6,44.0,Spike
Bulletstorm,PS3,Shooter,Electronic Arts,0.45,22-Feb-11,83.0,57.0,7.6,225.0,"People Can Fly, Epic Games"
Goldeneye 007: Reloaded,X360,Shooter,Activision,0.44,1-Nov-11,72.0,56.0,6,82.0,Eurocom Entertainment Software
Hot Shots Golf: World Invitational,PSV,Sports,Sony Computer Entertainment,0.43,7-Feb-12,76.0,55.0,8.2,59.0,Clap Hanz
Madden NFL 12,Wii,Sports,Electronic Arts,0.42,30-Aug-11,,,6.2,5.0,EA Tiburon
Alice: Madness Returns,X360,Adventure,Electronic Arts,0.42,14-Jun-11,70.0,67.0,8.1,125.0,Spicy Horse
The Sims 3 (Mobile Versions),PS3,Simulation,Electronic Arts,0.41,,,,,,
Major League Baseball 2K11,X360,Sports,Take-Two Interactive,0.41,8-Mar-11,69.0,27.0,6.8,24.0,Visual Concepts
Michael Jackson: The Experience,PS3,Misc,Ubisoft,0.41,12-Apr-11,66.0,11.0,7.4,10.0,Ubisoft Montreal
Two Worlds II,PS3,Role-Playing,Unknown,0.4,25-Jan-11,70.0,28.0,7,56.0,Reality Pump
AKB1/48: Idol to Guam de Koishitara...,PSP,Misc,Namco Bandai Games,0.4,,,,,,
Virtua Tennis 4,PS3,Sports,Sega,0.39,10-May-11,69.0,49.0,6.5,22.0,Sega
Top Spin 4,X360,Sports,Take-Two Interactive,0.36,15-Mar-11,84.0,54.0,8.3,56.0,2K Czech
WWE All Stars,PS3,Fighting,THQ,0.35,29-Mar-11,75.0,51.0,6.4,28.0,THQ
SD Gundam G Generation World,PSP,Strategy,Namco Bandai Games,0.34,,,,,,
Cabela's Big Game Hunter 2012,Wii,Sports,Activision,0.34,27-Sep-11,,,tbd,,Activision
Just Dance Kids 2,X360,Misc,Ubisoft,0.33,25-Oct-11,,,tbd,,Ubisoft
FIFA Soccer 12,3DS,Sports,Electronic Arts,0.33,27-Sep-11,67.0,13.0,4.4,14.0,EA Sports
WWE '12,Wii,Fighting,THQ,0.32,22-Nov-11,74.0,6.0,5.1,8.0,Yuke's
Tiger Woods PGA Tour 12: The Masters,Wii,Sports,Electronic Arts,0.32,29-Mar-11,85.0,14.0,7.7,6.0,Electronic Arts
WWE All Stars,X360,Fighting,THQ,0.31,29-Mar-11,75.0,64.0,7.2,38.0,THQ
Minute to Win It,X360,Misc,Zoo Games,0.31,18-Oct-11,,,tbd,,Smack Down Productions
Wipeout 2,Wii,Misc,Activision,0.3,11-Oct-11,,,tbd,,Endemol
Harry Potter and the Deathly Hallows - Part 2,Wii,Action,Electronic Arts,0.3,12-Jul-11,47.0,6.0,6.6,5.0,
The Adventures of Tintin: The Game,Wii,Action,Ubisoft,0.29,6-Dec-11,,,tbd,,Ubisoft Montpellier
The Black Eyed Peas Experience,X360,Misc,Ubisoft,0.29,8-Nov-11,66.0,17.0,5.8,8.0,iNiS
Harry Potter and the Deathly Hallows - Part 2,X360,Action,Electronic Arts,0.29,12-Jul-11,44.0,31.0,5.2,19.0,EA Bright Light
Dead Rising 2: Off the Record,PS3,Action,Capcom,0.28,11-Oct-11,72.0,31.0,6.7,21.0,Capcom Vancouver
NASCAR 2011: The Game,X360,Racing,Activision,0.28,29-Mar-11,62.0,24.0,4.1,14.0,Eutechnyx
Rugby World Cup 2011,PS3,Sports,505 Games,0.28,6-Sep-11,50.0,12.0,5.6,7.0,HB Studios Multimedia
Jikkyou Powerful Pro Yakyuu 2011,PS3,Sports,Konami Digital Entertainment,0.26,,,,,,
Transformers: Dark of the Moon,PS3,Action,Activision,0.26,14-Jun-11,57.0,41.0,5.5,21.0,High Moon Studios
Harry Potter and the Deathly Hallows - Part 2,PS3,Action,Electronic Arts,0.26,12-Jul-11,43.0,21.0,5.2,19.0,
Karaoke Revolution Glee: Volume 3,Wii,Misc,Konami Digital Entertainment,0.25,1-Nov-11,,,tbd,,Hijinx Studios
NASCAR 2011: The Game,PS3,Racing,Activision,0.25,29-Mar-11,62.0,16.0,3.3,12.0,Eutechnyx
Cabela's Big Game Hunter 2012,X360,Sports,Activision,0.25,27-Sep-11,,,tbd,,Activision
Rugby World Cup 2011,X360,Sports,505 Games,0.25,1-Sep-11,55.0,14.0,4,11.0,HB Studios Multimedia
The Sims 3 (Mobile Versions),3DS,Simulation,Electronic Arts,0.25,,,,,,
Transformers: Dark of the Moon,X360,Action,Activision,0.24,14-Jun-11,59.0,53.0,6.8,23.0,High Moon Studios
Pro Yakyuu Spirits 2011,PSP,Sports,Konami Digital Entertainment,0.24,,,,,,
Need for Speed: The Run,Wii,Racing,Electronic Arts,0.24,15-Nov-11,64.0,6.0,2.4,15.0,Firebrand Games
Jonah Lomu Rugby Challenge,X360,Sports,Home Entertainment Suppliers,0.24,18-Oct-11,73.0,14.0,6.9,7.0,Sidhe Interactive
LEGO Pirates of the Caribbean: The Video Game,PSP,Action,Disney Interactive Studios,0.24,10-May-11,67.0,5.0,tbd,,Traveller's Tales
Wipeout 2,X360,Misc,Activision,0.24,11-Oct-11,,,tbd,,Endemol
Just Dance Kids 2,Wii,Misc,Ubisoft,0.24,25-Oct-11,,,tbd,,Ubisoft
The Adventures of Tintin: The Game,PS3,Action,Ubisoft,0.23,6-Dec-11,59.0,27.0,5.4,10.0,Ubisoft Montpellier
Dead Rising 2: Off the Record,X360,Action,Capcom,0.23,11-Oct-11,72.0,49.0,7.5,49.0,Capcom Vancouver
Spider-Man: Edge of Time,X360,Action,Activision,0.23,4-Oct-11,57.0,50.0,6.8,25.0,Beenox
Sengoku Basara 3 Utage,PS3,Action,Capcom,0.22,,,,,,
Shadows of the Damned,PS3,Action,Electronic Arts,0.22,21-Jun-11,77.0,56.0,8,82.0,Grasshopper Manufacture
Atelier Meruru: Alchemist of Arland 3,PS3,Role-Playing,Nippon Ichi Software,0.22,,,,,,
X-Men: Destiny,X360,Action,Activision,0.22,27-Sep-11,47.0,51.0,5.1,66.0,Silicon Knights
Nickelodeon Dance,Wii,Misc,Take-Two Interactive,0.22,8-Nov-11,,,tbd,,High Voltage Software
Ultimate Marvel vs. Capcom 3,PSV,Fighting,Capcom,0.21,15-Feb-12,80.0,48.0,7.5,72.0,Capcom
Dynasty Warriors 7,X360,Action,Tecmo Koei,0.21,29-Mar-11,58.0,22.0,7.8,39.0,Omega Force
Kung Fu Panda 2,X360,Action,THQ,0.21,,,,,,
The Adventures of Tintin: The Game,X360,Action,Ubisoft,0.21,6-Dec-11,63.0,35.0,5.8,8.0,Ubisoft Montpellier
X-Men: Destiny,PS3,Action,Activision,0.21,27-Sep-11,50.0,33.0,4.8,31.0,Silicon Knights
NASCAR 2011: The Game,Wii,Racing,Activision,0.21,24-May-11,42.0,5.0,4.5,6.0,Eutechnyx
Wipeout 2,3DS,Misc,Activision,0.2,11-Oct-11,,,tbd,,Endemol
Spider-Man: Edge of Time,PS3,Action,Activision,0.2,4-Oct-11,58.0,43.0,7.1,17.0,Beenox
Jikkyou Powerful Pro Yakyuu 2011,PSP,Sports,Konami Digital Entertainment,0.2,,,,,,
Madden NFL 12,PSP,Sports,Electronic Arts,0.2,30-Aug-11,,,tbd,,EA Tiburon
Pictionary: Ultimate Edition,X360,Misc,THQ,0.19,15-Nov-11,53.0,4.0,tbd,,Page 44 Studios
Steins;Gate,PSP,Adventure,Kadokawa Shoten,0.19,,,,,,
Pictionary: Ultimate Edition,PS3,Misc,THQ,0.18,15-Nov-11,62.0,4.0,tbd,,Page 44 Studios
Virtua Tennis 4,X360,Sports,Sega,0.18,10-May-11,70.0,37.0,6.2,9.0,Sega
Rune Factory: Tides of Destiny,PS3,Role-Playing,Marvelous Interactive,0.18,7-Oct-11,55.0,12.0,7.6,27.0,Neverland
Big League Sports,X360,Sports,Activision,0.18,8-Nov-11,,,tbd,,Activision
Pro Yakyuu Spirits 2011,PS3,Sports,Konami Digital Entertainment,0.18,,,,,,
Rune Factory: Tides of Destiny,Wii,Role-Playing,Marvelous Interactive,0.18,7-Oct-11,,,7.4,8.0,Neverland
You Don't Know Jack,Wii,Misc,THQ,0.18,8-Feb-11,81.0,5.0,7.6,5.0,"Jellyvision, Iron Galaxy Studios"
Champion Jockey: G1 Jockey & Gallop Racer,PS3,Sports,Tecmo Koei,0.18,,,,,,
Biohazard: Revival Selection,PS3,Action,Capcom,0.18,,,,,,
Transformers: Dark of the Moon,3DS,Action,Activision,0.18,,,,,,
Cabela's Big Game Hunter 2012,PS3,Sports,Activision,0.17,27-Sep-11,,,tbd,,Activision
Major League Baseball 2K11,PS3,Sports,Take-Two Interactive,0.17,8-Mar-11,72.0,13.0,6.3,8.0,Visual Concepts
WWE All Stars,3DS,Fighting,THQ,0.17,22-Nov-11,71.0,12.0,7,6.0,THQ
Cabela's Survival: Shadows of Katmai,Wii,Sports,Activision,0.17,1-Nov-11,,,tbd,,Activision
Earth Defense Force: Insect Armageddon,X360,Shooter,D3Publisher,0.17,1-Jul-11,68.0,40.0,8.2,42.0,Vicious Cycle
WWE All Stars,Wii,Fighting,THQ,0.17,29-Mar-11,68.0,11.0,6,6.0,THQ
You Don't Know Jack,X360,Misc,THQ,0.17,8-Feb-11,82.0,23.0,8.1,27.0,"Jellyvision, Iron Galaxy Studios"
WWE All Stars,PSP,Fighting,THQ,0.16,29-Mar-11,70.0,4.0,tbd,,THQ
Just Dance Kids 2,PS3,Misc,Ubisoft,0.16,25-Oct-11,,,tbd,,Ubisoft
Earth Defense Force: Insect Armageddon,PS3,Shooter,D3Publisher,0.16,1-Jul-11,63.0,28.0,6.9,23.0,Vicious Cycle
de Blob 2,Wii,Platform,THQ,0.16,22-Feb-11,79.0,20.0,8,23.0,Blue Tongue Entertainment
Shadows of the Damned,X360,Action,Electronic Arts,0.16,21-Jun-11,76.0,76.0,8.3,106.0,Grasshopper Manufacture
Plants vs. Zombies,PS3,Strategy,PopCap Games,0.15,8-Feb-11,85.0,8.0,7.7,46.0,PopCap
de Blob 2,PS3,Platform,THQ,0.15,22-Feb-11,74.0,50.0,6.8,26.0,Blue Tongue Entertainment
Need for Speed: The Run,3DS,Racing,Electronic Arts,0.15,15-Nov-11,65.0,9.0,5.7,23.0,Firebrand Games
You Don't Know Jack,PS3,Misc,THQ,0.15,8-Feb-11,82.0,11.0,7,15.0,"Jellyvision, Iron Galaxy Studios"
Transformers: Dark of the Moon,Wii,Action,Activision,0.15,14-Jun-11,34.0,14.0,3.8,4.0,Behaviour Interactive
Cabela's Survival: Shadows of Katmai,X360,Sports,Activision,0.15,1-Nov-11,,,3.8,5.0,Activision
Rio,Wii,Misc,THQ,0.15,12-Apr-11,,,tbd,,Eurocom Entertainment Software
WRC 2: FIA World Rally Championship,PS3,Racing,Ubisoft,0.15,,,,,,
MotoGP 10/11,PS3,Racing,Capcom,0.15,15-Mar-11,68.0,32.0,5.9,21.0,Monumental Games
Major League Baseball 2K11,Wii,Sports,Take-Two Interactive,0.15,8-Mar-11,,,tbd,,Visual Concepts
Captain America: Super Soldier,X360,Action,Sega,0.14,19-Jul-11,60.0,48.0,6.1,27.0,Next Level Games
Captain America: Super Soldier,PS3,Action,Sega,0.14,19-Jul-11,61.0,34.0,7.2,31.0,Next Level Games
Driver: San Francisco,Wii,Racing,Ubisoft,0.14,6-Sep-11,64.0,7.0,5.8,8.0,Ubisoft Reflections
Ridge Racer,PSV,Racing,Namco Bandai Games,0.14,13-Mar-12,44.0,39.0,3.2,51.0,"Namco Bandai Games, Cellius"
The Cursed Crusade,PS3,Action,DTP Entertainment,0.14,25-Oct-11,45.0,17.0,5,18.0,Kylotonn
Warriors Orochi 3,X360,Action,Ubisoft Annecy,0.14,27-Mar-12,71.0,9.0,8.2,14.0,Omega Force
Cabela's Adventure Camp,Wii,Misc,Activision,0.13,1-Nov-11,,,tbd,,Cauldron Ltd.
Thor: God of Thunder,Wii,Action,Sega,0.13,3-May-11,56.0,14.0,7.8,8.0,Red Fly Studio
Cabela's Survival: Shadows of Katmai,PS3,Sports,Activision,0.13,1-Nov-11,,,7.4,5.0,Activision
Sengoku Basara 3 Utage,Wii,Action,Capcom,0.13,,,,,,
The Adventures of Tintin: The Game,3DS,Action,Ubisoft,0.13,6-Dec-11,56.0,8.0,5.1,8.0,Ubisoft Montpellier
Top Spin 4,Wii,Sports,Take-Two Interactive,0.12,15-Mar-11,54.0,8.0,7.4,7.0,2K Games
Virtua Tennis 4,Wii,Sports,Sega,0.12,10-May-11,65.0,15.0,tbd,,Sega
de Blob 2,X360,Platform,THQ,0.12,22-Feb-11,77.0,54.0,7.7,20.0,Blue Tongue Entertainment
Air Conflicts: Secret Wars,PS3,Simulation,bitComposer Games,0.12,15-Nov-11,51.0,8.0,tbd,,Games Farm
